"label","type","count","sum","min","p01","p05","p10","p25","p50","p75","p90","p95","p99","max","average","standardDeviation","coefficientOfVariation","IQR","lowOutliersJSON","highOutliersJSON","lowFarOutliersJSON","highFarOutliersJSON"
"n1kInsertDurations","raw","2500","6.952068746089935","0.0006249845027923584","0.0006769895553588867","0.000728994607925415","0.000728994607925415","0.0009379982948303223","0.0013020038604736328","0.001614987850189209","0.002083003520965576","0.0025520026683807373","0.004789471030235257","1.7071349918842316","0.002780827498435974","0.03996343755602472","14.371059541989364","0.0006769895553588867","[]","[0.0026559829711914062,0.0026559829711914062,0.0026559829711914062,0.0026559829711914062,0.002656012773513794,0.002656012773513794,0.002656012773513794,0.002656012773513794,0.002656996250152588,0.002656996250152588,0.0027079880237579346,0.0027079880237579346,0.0027079880237579346,0.0027079880237579346,0.0027079880237579346,0.0027080178260803223,0.0027080178260803223,0.002709001302719116,0.002759993076324463,0.002759993076324463,0.0027610063552856445,0.002811998128890991,0.002811998128890991,0.002811998128890991,0.002812981605529785,0.002813011407852173,0.002813011407852173,0.002813011407852173,0.0028640031814575195,0.0028649866580963135,0.002865016460418701,0.002916008234024048,0.002916991710662842,0.002916991710662842,0.002916991710662842,0.0029170215129852295,0.0029170215129852295,0.0029679834842681885,0.00296899676322937,0.00296899676322937,0.00296899676322937,0.00296899676322937,0.00296899676322937,0.002969026565551758,0.002969026565551758,0.0030210018157958984,0.0030210018157958984,0.0030210018157958984,0.003072977066040039,0.003072977066040039,0.0030730068683624268,0.0030730068683624268,0.003125011920928955,0.003125011920928955,0.0031769871711730957,0.0031770169734954834,0.0031780004501342773,0.003228992223739624,0.0032809972763061523,0.0033849775791168213,0.0034370124340057373,0.0034370124340057373,0.003488987684249878,0.003488987684249878,0.003488987684249878,0.0034900009632110596,0.0034900009632110596,0.0035939812660217285,0.003594011068344116,0.003594011068344116,0.003645002841949463,0.003697991371154785,0.003698021173477173,0.003802001476287842,0.00385400652885437,0.004009991884231567,0.004009991884231567,0.004010975360870361,0.004114001989364624,0.004166990518569946,0.004374980926513672,0.0044269859790802,0.0045320093631744385,0.004635989665985107,0.0047910213470458984,0.004948019981384277,0.005780994892120361,0.005885004997253418,0.0061460137367248535,0.00645899772644043,0.0068750083446502686,0.007396012544631958,0.007604002952575684,0.007759988307952881,0.008332997560501099,0.008697986602783203,0.010989010334014893,0.011302024126052856,0.014739990234375,0.016353994607925415,0.0438539981842041,0.04979202151298523,0.057343989610672,0.09307298064231873,0.11489599943161011,0.19666701555252075,0.22859400510787964,0.9852079749107361,1.7071349918842316]","[]","[0.003697991371154785,0.003698021173477173,0.003802001476287842,0.00385400652885437,0.004009991884231567,0.004009991884231567,0.004010975360870361,0.004114001989364624,0.004166990518569946,0.004374980926513672,0.0044269859790802,0.0045320093631744385,0.004635989665985107,0.0047910213470458984,0.004948019981384277,0.005780994892120361,0.005885004997253418,0.0061460137367248535,0.00645899772644043,0.0068750083446502686,0.007396012544631958,0.007604002952575684,0.007759988307952881,0.008332997560501099,0.008697986602783203,0.010989010334014893,0.011302024126052856,0.014739990234375,0.016353994607925415,0.0438539981842041,0.04979202151298523,0.057343989610672,0.09307298064231873,0.11489599943161011,0.19666701555252075,0.22859400510787964,0.9852079749107361,1.7071349918842316]"
"n1kInsertDurations","allOutliersRemoved","2391","3.076288789510727","0.0006249845027923584","0.0006769895553588867","0.000728994607925415","0.000728994607925415","0.0009370148181915283","0.0012499988079071045","0.0015619993209838867","0.0018750131130218506","0.0021359920501708984","0.002499997615814209","0.0026049911975860596","0.0012866117898413746","0.0004490409267564498","0.34901042435792673","0.0006249845027923584","n/a","n/a","n/a","n/a"
"n1kInsertDurations","allOutliersRecoded","2500","3.3630102574825287","0.0006249845027923584","0.0006769895553588867","0.000728994607925415","0.000728994607925415","0.0009379982948303223","0.0013020038604736328","0.001614987850189209","0.002083003520965576","0.0025520026683807373","0.002630472183227539","0.002630472183227539","0.0013452041029930115","0.0005178350873328824","0.38494908406889733","0.0006769895553588867","n/a","n/a","n/a","n/a"
"n1kRemoveDurations","raw","2500","5.371349722146988","0.0011459887027740479","0.0011979937553405762","0.0012499988079071045","0.0013020038604736328","0.001354992389678955","0.0017189979553222656","0.0019789934158325195","0.0021350055932998655","0.002499997615814209","0.005519949495792366","0.2569800019264221","0.0021485398888587953","0.0070638465524589375","3.2877428010940606","0.0006240010261535645","[]","[0.00291597843170166,0.002916008234024048,0.002916991710662842,0.002916991710662842,0.00296899676322937,0.00296899676322937,0.0030200183391571045,0.0030209720134735107,0.0030210018157958984,0.0030210018157958984,0.0030210018157958984,0.0030730068683624268,0.003125011920928955,0.0031769871711730957,0.0031769871711730957,0.0031769871711730957,0.0031770169734954834,0.0033849775791168213,0.0034379959106445312,0.0034379959106445312,0.0034379959106445312,0.0034379959106445312,0.003438025712966919,0.003438025712966919,0.0034890174865722656,0.0034900009632110596,0.003541022539138794,0.003542006015777588,0.0035939812660217285,0.003594011068344116,0.003645986318588257,0.003645986318588257,0.003698021173477173,0.0037499964237213135,0.003802001476287842,0.003957986831665039,0.004061996936798096,0.004063010215759277,0.004165977239608765,0.004218995571136475,0.004269987344741821,0.004322022199630737,0.004323005676269531,0.004323005676269531,0.00437501072883606,0.0044269859790802,0.0044799745082855225,0.004739999771118164,0.004790991544723511,0.005259990692138672,0.005416005849838257,0.005520999431610107,0.005938023328781128,0.006718993186950684,0.006719022989273071,0.0068750083446502686,0.010260015726089478,0.010936975479125977,0.011146008968353271,0.011458009481430054,0.011718988418579102,0.017811983823776245,0.019217997789382935,0.023282021284103394,0.02349001169204712,0.028176993131637573,0.02937498688697815,0.03171798586845398,0.037811994552612305,0.04098999500274658,0.04994800686836243,0.07416698336601257,0.09812501072883606,0.12833300232887268,0.1409890055656433,0.2569800019264221]","[]","[0.003957986831665039,0.004061996936798096,0.004063010215759277,0.004165977239608765,0.004218995571136475,0.004269987344741821,0.004322022199630737,0.004323005676269531,0.004323005676269531,0.00437501072883606,0.0044269859790802,0.0044799745082855225,0.004739999771118164,0.004790991544723511,0.005259990692138672,0.005416005849838257,0.005520999431610107,0.005938023328781128,0.006718993186950684,0.006719022989273071,0.0068750083446502686,0.010260015726089478,0.010936975479125977,0.011146008968353271,0.011458009481430054,0.011718988418579102,0.017811983823776245,0.019217997789382935,0.023282021284103394,0.02349001169204712,0.028176993131637573,0.02937498688697815,0.03171798586845398,0.037811994552612305,0.04098999500274658,0.04994800686836243,0.07416698336601257,0.09812501072883606,0.12833300232887268,0.1409890055656433,0.2569800019264221]"
"n1kRemoveDurations","allOutliersRemoved","2424","4.097027748823166","0.0011459887027740479","0.0011979937553405762","0.0012499988079071045","0.0013020038604736328","0.001354992389678955","0.001667022705078125","0.001927018165588379","0.002083003520965576","0.002187013626098633","0.0026567503809928894","0.002865016460418701","0.0016901929656861245","0.00033600670161180513","0.19879783458654088","0.0005720257759094238","n/a","n/a","n/a","n/a"
"n1kRemoveDurations","allOutliersRecoded","2500","4.318567365407944","0.0011459887027740479","0.0011979937553405762","0.0012499988079071045","0.0013020038604736328","0.001354992389678955","0.0017189979553222656","0.0019789934158325195","0.0021350055932998655","0.002499997615814209","0.002914994955062866","0.002914994955062866","0.0017274269461631775","0.00039202833096516895","0.22694350799373073","0.0006240010261535645","n/a","n/a","n/a","n/a"
"n2p5kInsertDurations","raw","2500","2.755627751350403","0.0006249845027923584","0.0006769895553588867","0.0006780028343200684","0.000728994607925415","0.0007809996604919434","0.0009369850158691406","0.0010930001735687256","0.0014060139656066895","0.001771003007888794","0.0029679468274116287","0.10703101754188538","0.001102251100540161","0.00275750316603371","2.501701440517853","0.0003120005130767822","[]","[0.0015619993209838867,0.0015619993209838867,0.0015619993209838867,0.0015619993209838867,0.0015619993209838867,0.0015619993209838867,0.0015619993209838867,0.0015619993209838867,0.0015619993209838867,0.0015629827976226807,0.0015629827976226807,0.0015629827976226807,0.0015629827976226807,0.0015629827976226807,0.0015630125999450684,0.0015630125999450684,0.0015630125999450684,0.0015630125999450684,0.0015630125999450684,0.001614004373550415,0.001614004373550415,0.001614987850189209,0.001614987850189209,0.001614987850189209,0.001614987850189209,0.001614987850189209,0.001614987850189209,0.0016150176525115967,0.0016150176525115967,0.0016150176525115967,0.0016660094261169434,0.0016660094261169434,0.0016660094261169434,0.0016660094261169434,0.0016660094261169434,0.0016669929027557373,0.0016669929027557373,0.0016669929027557373,0.0016669929027557373,0.0016669929027557373,0.0016669929027557373,0.0016669929027557373,0.0016669929027557373,0.0016669929027557373,0.0016669929027557373,0.0016669929027557373,0.001667022705078125,0.001717984676361084,0.0017189979553222656,0.0017189979553222656,0.0017189979553222656,0.0017189979553222656,0.0017189979553222656,0.0017189979553222656,0.0017189979553222656,0.0017189979553222656,0.0017189979553222656,0.0017190277576446533,0.0017699897289276123,0.00177001953125,0.001771003007888794,0.001771003007888794,0.001771003007888794,0.001771003007888794,0.001771003007888794,0.001771003007888794,0.001771003007888794,0.001771003007888794,0.001771003007888794,0.001771003007888794,0.001771003007888794,0.001771003007888794,0.0018219947814941406,0.0018219947814941406,0.0018229782581329346,0.0018230080604553223,0.0018230080604553223,0.0018230080604553223,0.0018230080604553223,0.0018230080604553223,0.0018230080604553223,0.0018749833106994629,0.0018749833106994629,0.0018749833106994629,0.0018749833106994629,0.0018749833106994629,0.0018749833106994629,0.0018749833106994629,0.0018749833106994629,0.0018749833106994629,0.0018749833106994629,0.0018750131130218506,0.0018750131130218506,0.0018750131130218506,0.0018750131130218506,0.0019269883632659912,0.0019269883632659912,0.0019269883632659912,0.0019269883632659912,0.0019269883632659912,0.0019269883632659912,0.001927018165588379,0.001927018165588379,0.0019789934158325195,0.0019789934158325195,0.0019789934158325195,0.0019789934158325195,0.002030998468399048,0.002030998468399048,0.002030998468399048,0.002030998468399048,0.002030998468399048,0.002031981945037842,0.002031981945037842,0.0020320117473602295,0.0020320117473602295,0.0020320117473602295,0.0020829737186431885,0.0020829737186431885,0.002083003520965576,0.002083003520965576,0.00208398699760437,0.002084016799926758,0.0021350085735321045,0.0021350085735321045,0.0021350085735321045,0.0021350085735321045,0.0021359920501708984,0.0021879971027374268,0.002239018678665161,0.002240002155303955,0.002240002155303955,0.0022909939289093018,0.0022919774055480957,0.0022920072078704834,0.00234299898147583,0.00234299898147583,0.002343982458114624,0.0023440122604370117,0.0023959875106811523,0.0024479925632476807,0.0024479925632476807,0.0024480223655700684,0.002499997615814209,0.002499997615814209,0.002499997615814209,0.0025000274181365967,0.0025520026683807373,0.0025520026683807373,0.002603977918624878,0.0026040077209472656,0.0026049911975860596,0.0026559829711914062,0.002656012773513794,0.0027079880237579346,0.0027079880237579346,0.0027600228786468506,0.0027610063552856445,0.0027610063552856445,0.0027610063552856445,0.002811998128890991,0.002812981605529785,0.0028640031814575195,0.0028640031814575195,0.0028640031814575195,0.00296899676322937,0.0031249821186065674,0.0031249821186065674,0.003125011920928955,0.0031770169734954834,0.0032819807529449463,0.0033330023288726807,0.0034900009632110596,0.0034900009632110596,0.003594011068344116,0.003697991371154785,0.0037499964237213135,0.0039060115814208984,0.003957986831665039,0.004061996936798096,0.004323005676269531,0.004323005676269531,0.0044269859790802,0.006094008684158325,0.007082998752593994,0.012499988079071045,0.013229012489318848,0.02192699909210205,0.08229202032089233,0.10703101754188538]","[]","[0.002030998468399048,0.002030998468399048,0.002030998468399048,0.002030998468399048,0.002030998468399048,0.002031981945037842,0.002031981945037842,0.0020320117473602295,0.0020320117473602295,0.0020320117473602295,0.0020829737186431885,0.0020829737186431885,0.002083003520965576,0.002083003520965576,0.00208398699760437,0.002084016799926758,0.0021350085735321045,0.0021350085735321045,0.0021350085735321045,0.0021350085735321045,0.0021359920501708984,0.0021879971027374268,0.002239018678665161,0.002240002155303955,0.002240002155303955,0.0022909939289093018,0.0022919774055480957,0.0022920072078704834,0.00234299898147583,0.00234299898147583,0.002343982458114624,0.0023440122604370117,0.0023959875106811523,0.0024479925632476807,0.0024479925632476807,0.0024480223655700684,0.002499997615814209,0.002499997615814209,0.002499997615814209,0.0025000274181365967,0.0025520026683807373,0.0025520026683807373,0.002603977918624878,0.0026040077209472656,0.0026049911975860596,0.0026559829711914062,0.002656012773513794,0.0027079880237579346,0.0027079880237579346,0.0027600228786468506,0.0027610063552856445,0.0027610063552856445,0.0027610063552856445,0.002811998128890991,0.002812981605529785,0.0028640031814575195,0.0028640031814575195,0.0028640031814575195,0.00296899676322937,0.0031249821186065674,0.0031249821186065674,0.003125011920928955,0.0031770169734954834,0.0032819807529449463,0.0033330023288726807,0.0034900009632110596,0.0034900009632110596,0.003594011068344116,0.003697991371154785,0.0037499964237213135,0.0039060115814208984,0.003957986831665039,0.004061996936798096,0.004323005676269531,0.004323005676269531,0.0044269859790802,0.006094008684158325,0.007082998752593994,0.012499988079071045,0.013229012489318848,0.02192699909210205,0.08229202032089233,0.10703101754188538]"
"n2p5kInsertDurations","allOutliersRemoved","2310","2.117550939321518","0.0006249845027923584","0.0006769895553588867","0.0006770193576812744","0.000728994607925415","0.0007300078868865967","0.000885009765625","0.001042008399963379","0.0011460185050964355","0.0013020038604736328","0.0015099942684173584","0.00151100754737854","0.0009166887183210034","0.00019374157559019434","0.21134936180413477","0.0003120005130767822","n/a","n/a","n/a","n/a"
"n2p5kInsertDurations","allOutliersRecoded","2500","2.4141411185264587","0.0006249845027923584","0.0006769895553588867","0.0006780028343200684","0.000728994607925415","0.0007809996604919434","0.0009369850158691406","0.0010930001735687256","0.0014060139656066895","0.001561000943183899","0.001561000943183899","0.001561000943183899","0.0009656564474105835","0.0002526573676733884","0.26164312199322176","0.0003120005130767822","n/a","n/a","n/a","n/a"
"n2p5kRemoveDurations","raw","2500","5.586225986480713","0.0011449754238128662","0.0011969804763793945","0.0011980235576629639","0.0012499988079071045","0.0013020038604736328","0.0013540089130401611","0.00145798921585083","0.00151100754737854","0.0019789934158325195","0.0031244623661041146","1.8385420143604279","0.002234490394592285","0.03679594868749485","16.467266440950084","0.00015598535537719727","[]","[0.0017180144786834717,0.0017189979553222656,0.0017189979553222656,0.0017190277576446533,0.001771003007888794,0.0018229782581329346,0.0018230080604553223,0.0018230080604553223,0.0018230080604553223,0.0018230080604553223,0.0018230080604553223,0.0018749833106994629,0.0018749833106994629,0.0018749833106994629,0.0018749833106994629,0.0018750131130218506,0.0018750131130218506,0.0018750131130218506,0.0019269883632659912,0.0019269883632659912,0.0019269883632659912,0.0019269883632659912,0.0019269883632659912,0.0019269883632659912,0.001927018165588379,0.001927018165588379,0.001927018165588379,0.001927018165588379,0.0019789934158325195,0.0019789934158325195,0.0019789934158325195,0.0019789934158325195,0.0019789934158325195,0.0019789934158325195,0.0019790232181549072,0.0019790232181549072,0.0019790232181549072,0.0019790232181549072,0.001980006694793701,0.001980006694793701,0.002030998468399048,0.002030998468399048,0.002030998468399048,0.002030998468399048,0.002030998468399048,0.002030998468399048,0.002030998468399048,0.0020320117473602295,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.00208398699760437,0.00208398699760437,0.00208398699760437,0.002084016799926758,0.002084016799926758,0.002134978771209717,0.002134978771209717,0.002134978771209717,0.0021350085735321045,0.0021350085735321045,0.0021350085735321045,0.0021350085735321045,0.0021350085735321045,0.0021350085735321045,0.0021359920501708984,0.0021359920501708984,0.0021359920501708984,0.0021359920501708984,0.0021359920501708984,0.002136021852493286,0.002186983823776245,0.002186983823776245,0.002187013626098633,0.002187013626098633,0.002187013626098633,0.002187013626098633,0.0021879971027374268,0.002239018678665161,0.002239018678665161,0.002239018678665161,0.002240002155303955,0.002240002155303955,0.0022909939289093018,0.0022909939289093018,0.0022909939289093018,0.0022909939289093018,0.0022920072078704834,0.0022920072078704834,0.0022920072078704834,0.00234299898147583,0.002343982458114624,0.0023440122604370117,0.0023440122604370117,0.0023440122604370117,0.0023959875106811523,0.0023959875106811523,0.0024479925632476807,0.002499997615814209,0.0025520026683807373,0.0026040077209472656,0.002656012773513794,0.002656996250152588,0.0027079880237579346,0.0027080178260803223,0.0027080178260803223,0.002759993076324463,0.0027600228786468506,0.0027610063552856445,0.002811998128890991,0.002813011407852173,0.002813011407852173,0.0028640031814575195,0.002916991710662842,0.00296899676322937,0.0030210018157958984,0.0030210018157958984,0.0030730068683624268,0.0030730068683624268,0.0030730068683624268,0.0031249821186065674,0.0031769871711730957,0.0031770169734954834,0.0032300055027008057,0.0034900009632110596,0.0035419762134552,0.003542006015777588,0.0035939812660217285,0.003697991371154785,0.00385400652885437,0.003957986831665039,0.003957986831665039,0.004114001989364624,0.004271000623703003,0.004271000623703003,0.004583001136779785,0.005677014589309692,0.005730003118515015,0.0070310235023498535,0.00843799114227295,0.010520994663238525,0.029843002557754517,0.056562989950180054,0.08651098608970642,1.8385420143604279]","[]","[0.0019269883632659912,0.0019269883632659912,0.0019269883632659912,0.0019269883632659912,0.0019269883632659912,0.0019269883632659912,0.001927018165588379,0.001927018165588379,0.001927018165588379,0.001927018165588379,0.0019789934158325195,0.0019789934158325195,0.0019789934158325195,0.0019789934158325195,0.0019789934158325195,0.0019789934158325195,0.0019790232181549072,0.0019790232181549072,0.0019790232181549072,0.0019790232181549072,0.001980006694793701,0.001980006694793701,0.002030998468399048,0.002030998468399048,0.002030998468399048,0.002030998468399048,0.002030998468399048,0.002030998468399048,0.002030998468399048,0.0020320117473602295,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.002083003520965576,0.00208398699760437,0.00208398699760437,0.00208398699760437,0.002084016799926758,0.002084016799926758,0.002134978771209717,0.002134978771209717,0.002134978771209717,0.0021350085735321045,0.0021350085735321045,0.0021350085735321045,0.0021350085735321045,0.0021350085735321045,0.0021350085735321045,0.0021359920501708984,0.0021359920501708984,0.0021359920501708984,0.0021359920501708984,0.0021359920501708984,0.002136021852493286,0.002186983823776245,0.002186983823776245,0.002187013626098633,0.002187013626098633,0.002187013626098633,0.002187013626098633,0.0021879971027374268,0.002239018678665161,0.002239018678665161,0.002239018678665161,0.002240002155303955,0.002240002155303955,0.0022909939289093018,0.0022909939289093018,0.0022909939289093018,0.0022909939289093018,0.0022920072078704834,0.0022920072078704834,0.0022920072078704834,0.00234299898147583,0.002343982458114624,0.0023440122604370117,0.0023440122604370117,0.0023440122604370117,0.0023959875106811523,0.0023959875106811523,0.0024479925632476807,0.002499997615814209,0.0025520026683807373,0.0026040077209472656,0.002656012773513794,0.002656996250152588,0.0027079880237579346,0.0027080178260803223,0.0027080178260803223,0.002759993076324463,0.0027600228786468506,0.0027610063552856445,0.002811998128890991,0.002813011407852173,0.002813011407852173,0.0028640031814575195,0.002916991710662842,0.00296899676322937,0.0030210018157958984,0.0030210018157958984,0.0030730068683624268,0.0030730068683624268,0.0030730068683624268,0.0031249821186065674,0.0031769871711730957,0.0031770169734954834,0.0032300055027008057,0.0034900009632110596,0.0035419762134552,0.003542006015777588,0.0035939812660217285,0.003697991371154785,0.00385400652885437,0.003957986831665039,0.003957986831665039,0.004114001989364624,0.004271000623703003,0.004271000623703003,0.004583001136779785,0.005677014589309692,0.005730003118515015,0.0070310235023498535,0.00843799114227295,0.010520994663238525,0.029843002557754517,0.056562989950180054,0.08651098608970642,1.8385420143604279]"
