"label","type","count","sum","min","p01","p05","p10","p25","p50","p75","p90","p95","p99","max","average","standardDeviation","coefficientOfVariation","IQR","lowOutliersJSON","highOutliersJSON","lowFarOutliersJSON","highFarOutliersJSON"
"n1kInsertDurations","raw","2500","2.670700818300247","0.00020000338554382324","0.000299990177154541","0.0003999769687652588","0.0004000067710876465","0.0004999935626983643","0.0006999969482421875","0.0009999871253967285","0.001100003719329834","0.0013000071048736572","0.003099007606506326","0.4555000066757202","0.0010682803273200988","0.009384050691606142","8.784258636632472","0.0004999935626983643","[]","[0.0018000006675720215,0.0018000006675720215,0.0018000006675720215,0.0018000006675720215,0.0018000006675720215,0.0018000006675720215,0.0018000006675720215,0.0018000006675720215,0.0018000006675720215,0.0018000006675720215,0.0018999874591827393,0.0018999874591827393,0.0018999874591827393,0.0018999874591827393,0.0018999874591827393,0.001900017261505127,0.001900017261505127,0.001900017261505127,0.001900017261505127,0.001900017261505127,0.001999974250793457,0.0020000040531158447,0.0020000040531158447,0.0020000040531158447,0.0020000040531158447,0.0020000040531158447,0.0020999908447265625,0.00210002064704895,0.002200007438659668,0.002200007438659668,0.0022999942302703857,0.0022999942302703857,0.0022999942302703857,0.0022999942302703857,0.0022999942302703857,0.002400010824203491,0.002400010824203491,0.002499997615814209,0.002499997615814209,0.002499997615814209,0.0026000142097473145,0.00279998779296875,0.0029000043869018555,0.0029000043869018555,0.0029999911785125732,0.0031000077724456787,0.0031999945640563965,0.0031999945640563965,0.0031999945640563965,0.0031999945640563965,0.003600001335144043,0.0036999881267547607,0.0039000213146209717,0.004399985074996948,0.004399985074996948,0.004500001668930054,0.0045999884605407715,0.005300015211105347,0.0056999921798706055,0.005899995565414429,0.008499979972839355,0.013600021600723267,0.01389998197555542,0.02309998869895935,0.026299983263015747,0.03190001845359802,0.03850001096725464,0.05699998140335083,0.07850000262260437,0.4555000066757202]","[]","[0.002499997615814209,0.002499997615814209,0.002499997615814209,0.0026000142097473145,0.00279998779296875,0.0029000043869018555,0.0029000043869018555,0.0029999911785125732,0.0031000077724456787,0.0031999945640563965,0.0031999945640563965,0.0031999945640563965,0.0031999945640563965,0.003600001335144043,0.0036999881267547607,0.0039000213146209717,0.004399985074996948,0.004399985074996948,0.004500001668930054,0.0045999884605407715,0.005300015211105347,0.0056999921798706055,0.005899995565414429,0.008499979972839355,0.013600021600723267,0.01389998197555542,0.02309998869895935,0.026299983263015747,0.03190001845359802,0.03850001096725464,0.05699998140335083,0.07850000262260437,0.4555000066757202]"
"n1kInsertDurations","allOutliersRemoved","2430","1.7664008438587189","0.00020000338554382324","0.000299990177154541","0.0003999769687652588","0.0004000067710876465","0.0004999935626983643","0.0006999969482421875","0.0009000003337860107","0.001100003719329834","0.0011999905109405518","0.0015000104904174805","0.0017000138759613037","0.0007269139275138761","0.00026979620404360703","0.3711528887145403","0.0004000067710876465","n/a","n/a","n/a","n/a"
"n1kInsertDurations","allOutliersRecoded","2500","1.8888992667198181","0.00020000338554382324","0.000299990177154541","0.0003999769687652588","0.0004000067710876465","0.0004999935626983643","0.0006999969482421875","0.0009999871253967285","0.001100003719329834","0.0013000071048736572","0.001749977469444275","0.001749977469444275","0.0007555597066879272","0.00031502022726636366","0.41693624537931867","0.0004999935626983643","n/a","n/a","n/a","n/a"
"n1kRemoveDurations","raw","2500","3.06789892911911","0.00019997358322143555","0.000299990177154541","0.000299990177154541","0.0003999769687652588","0.0004000067710876465","0.0006000101566314697","0.0015000104904174805","0.0018000006675720215","0.0020999908447265625","0.004698005020618395","0.14949998259544373","0.001227159571647644","0.004992041750209466","4.06796464416352","0.001100003719329834","[]","[0.0032999813556671143,0.0032999813556671143,0.003300011157989502,0.0033999979496002197,0.0033999979496002197,0.0033999979496002197,0.0033999979496002197,0.003500014543533325,0.0037000179290771484,0.003800004720687866,0.0039000213146209717,0.004399985074996948,0.004500001668930054,0.004700005054473877,0.0051000118255615234,0.005499988794326782,0.0056999921798706055,0.005799978971481323,0.005800008773803711,0.005900025367736816,0.006000012159347534,0.006700009107589722,0.0067999958992004395,0.007899999618530273,0.01170000433921814,0.01479998230934143,0.018999993801116943,0.0203000009059906,0.020999997854232788,0.02129998803138733,0.031299978494644165,0.0340999960899353,0.03549998998641968,0.04679998755455017,0.06659999489784241,0.1039000153541565,0.13170000910758972,0.14949998259544373]","[]","[0.0051000118255615234,0.005499988794326782,0.0056999921798706055,0.005799978971481323,0.005800008773803711,0.005900025367736816,0.006000012159347534,0.006700009107589722,0.0067999958992004395,0.007899999618530273,0.01170000433921814,0.01479998230934143,0.018999993801116943,0.0203000009059906,0.020999997854232788,0.02129998803138733,0.031299978494644165,0.0340999960899353,0.03549998998641968,0.04679998755455017,0.06659999489784241,0.1039000153541565,0.13170000910758972,0.14949998259544373]"
"n1kRemoveDurations","allOutliersRemoved","2462","2.2471989691257477","0.00019997358322143555","0.000299990177154541","0.000299990177154541","0.0003999769687652588","0.0004000067710876465","0.0006000101566314697","0.0014999806880950928","0.0018000006675720215","0.0020000040531158447","0.002499997615814209","0.0029999911785125732","0.0009127534399373467","0.0006031597104332322","0.6608134070408263","0.0010999739170074463","n/a","n/a","n/a","n/a"
"n1kRemoveDurations","allOutliersRecoded","2500","2.3668995797634125","0.00019997358322143555","0.000299990177154541","0.000299990177154541","0.0003999769687652588","0.0004000067710876465","0.0006000101566314697","0.0015000104904174805","0.0018000006675720215","0.0020999908447265625","0.0031500160694122314","0.0031500160694122314","0.0009467598319053649","0.0006581767594172053","0.6951887239371121","0.001100003719329834","n/a","n/a","n/a","n/a"
"n2p5kInsertDurations","raw","2500","1.7119995951652527","0.000299990177154541","0.000299990177154541","0.0004000067710876465","0.0004000067710876465","0.0004999935626983643","0.0006000101566314697","0.0006999969482421875","0.000800013542175293","0.0009000003337860107","0.002199007570743539","0.08329999446868896","0.000684799838066101","0.0020490428043315866","2.9921776998635923","0.00020000338554382324","[]","[0.0010000169277191162,0.0010000169277191162,0.0010000169277191162,0.0010000169277191162,0.0010000169277191162,0.0010000169277191162,0.0010000169277191162,0.0010999739170074463,0.0010999739170074463,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.0011999905109405518,0.0011999905109405518,0.0011999905109405518,0.0011999905109405518,0.0011999905109405518,0.0011999905109405518,0.0011999905109405518,0.0011999905109405518,0.0011999905109405518,0.0011999905109405518,0.0011999905109405518,0.0011999905109405518,0.0012000203132629395,0.0012000203132629395,0.0012000203132629395,0.0012000203132629395,0.0012000203132629395,0.0012000203132629395,0.0012000203132629395,0.0012000203132629395,0.0012000203132629395,0.0012000203132629395,0.0012000203132629395,0.0012999773025512695,0.0013000071048736572,0.0013000071048736572,0.0013000071048736572,0.0013000071048736572,0.0013000071048736572,0.0013000071048736572,0.0013000071048736572,0.0013000071048736572,0.001399993896484375,0.001399993896484375,0.001399993896484375,0.001399993896484375,0.001399993896484375,0.001399993896484375,0.001399993896484375,0.0014000236988067627,0.0014999806880950928,0.0015000104904174805,0.0015000104904174805,0.0015000104904174805,0.0015000104904174805,0.0015999972820281982,0.0015999972820281982,0.0015999972820281982,0.0015999972820281982,0.001699984073638916,0.001699984073638916,0.0017000138759613037,0.0018000006675720215,0.001900017261505127,0.001900017261505127,0.0020000040531158447,0.0020999908447265625,0.00210002064704895,0.002200007438659668,0.002200007438659668,0.002200007438659668,0.0022999942302703857,0.0022999942302703857,0.002499997615814209,0.002499997615814209,0.002499997615814209,0.0025999844074249268,0.0026000142097473145,0.0027000010013580322,0.00279998779296875,0.0028000175952911377,0.0028000175952911377,0.0029000043869018555,0.0029000043869018555,0.0029999911785125732,0.0029999911785125732,0.003300011157989502,0.003500014543533325,0.003600001335144043,0.0037000179290771484,0.007600009441375732,0.0591999888420105,0.08329999446868896]","[]","[0.001399993896484375,0.001399993896484375,0.001399993896484375,0.001399993896484375,0.001399993896484375,0.001399993896484375,0.001399993896484375,0.0014000236988067627,0.0014999806880950928,0.0015000104904174805,0.0015000104904174805,0.0015000104904174805,0.0015000104904174805,0.0015999972820281982,0.0015999972820281982,0.0015999972820281982,0.0015999972820281982,0.001699984073638916,0.001699984073638916,0.0017000138759613037,0.0018000006675720215,0.001900017261505127,0.001900017261505127,0.0020000040531158447,0.0020999908447265625,0.00210002064704895,0.002200007438659668,0.002200007438659668,0.002200007438659668,0.0022999942302703857,0.0022999942302703857,0.002499997615814209,0.002499997615814209,0.002499997615814209,0.0025999844074249268,0.0026000142097473145,0.0027000010013580322,0.00279998779296875,0.0028000175952911377,0.0028000175952911377,0.0029000043869018555,0.0029000043869018555,0.0029999911785125732,0.0029999911785125732,0.003300011157989502,0.003500014543533325,0.003600001335144043,0.0037000179290771484,0.007600009441375732,0.0591999888420105,0.08329999446868896]"
"n2p5kInsertDurations","allOutliersRemoved","2390","1.3906992375850677","0.000299990177154541","0.000299990177154541","0.0004000067710876465","0.0004000067710876465","0.0004999935626983643","0.000599980354309082","0.0006999969482421875","0.0006999969482421875","0.000800013542175293","0.0009000003337860107","0.0009999871253967285","0.0005818825261862208","0.00012419692981838773","0.21343986840849175","0.00020000338554382324","n/a","n/a","n/a","n/a"
"n2p5kInsertDurations","allOutliersRecoded","2500","1.5006994605064392","0.000299990177154541","0.000299990177154541","0.0004000067710876465","0.0004000067710876465","0.0004999935626983643","0.0006000101566314697","0.0006999969482421875","0.000800013542175293","0.0009000003337860107","0.0010000020265579224","0.0010000020265579224","0.0006002797842025757","0.0001486606067498825","0.24765219596286484","0.00020000338554382324","n/a","n/a","n/a","n/a"
"n2p5kRemoveDurations","raw","2500","1.2801003456115723","0.00019997358322143555","0.000299990177154541","0.0003000199794769287","0.0003999769687652588","0.0004000067710876465","0.0004999935626983643","0.000599980354309082","0.0006000101566314697","0.0006999969482421875","0.0012000203132629395","0.006999999284744263","0.0005120401382446289","0.0002446286164014706","0.47775281297302996","0.00019997358322143555","[]","[0.0009000003337860107,0.0009000003337860107,0.0009000003337860107,0.0009000003337860107,0.0009000003337860107,0.0009999871253967285,0.0009999871253967285,0.0010000169277191162,0.0010000169277191162,0.0010000169277191162,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.001100003719329834,0.0011999905109405518,0.0011999905109405518,0.0011999905109405518,0.0012000203132629395,0.0012000203132629395,0.0012000203132629395,0.0012000203132629395,0.0012000203132629395,0.0012999773025512695,0.0013000071048736572,0.0013000071048736572,0.0013000071048736572,0.0013000071048736572,0.001399993896484375,0.0015000104904174805,0.001600027084350586,0.001900017261505127,0.0020999908447265625,0.002200007438659668,0.002499997615814209,0.0025999844074249268,0.0025999844074249268,0.0026000142097473145,0.0026000142097473145,0.0027000010013580322,0.00279998779296875,0.0029999911785125732,0.0031999945640563965,0.004700005054473877,0.006999999284744263]","[]","[0.0011999905109405518,0.0011999905109405518,0.0011999905109405518,0.0012000203132629395,0.0012000203132629395,0.0012000203132629395,0.0012000203132629395,0.0012000203132629395,0.0012999773025512695,0.0013000071048736572,0.0013000071048736572,0.0013000071048736572,0.0013000071048736572,0.001399993896484375,0.0015000104904174805,0.001600027084350586,0.001900017261505127,0.0020999908447265625,0.002200007438659668,0.002499997615814209,0.0025999844074249268,0.0025999844074249268,0.0026000142097473145,0.0026000142097473145,0.0027000010013580322,0.00279998779296875,0.0029999911785125732,0.0031999945640563965,0.004700005054473877,0.006999999284744263]"
